"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3720","TC 1 - Valid Username and Valid Password","chromium","2026-08-24","passed","2026-08-24","","tests\Login.spec.js","",""
"","3561","Smoke Test - Complete Purchase Flow","chromium","2026-08-25","passed","2026-08-25","Smoke Suite","SmokeTest\SmokeTest.spec.js","",""
"","3826","TC 1 - Login and Checkout Product","firefox","2026-08-24","passed","2026-08-24","","tests\CheckOut.spec.js","",""
"","2989","Login Test Case with valid user","firefox","2026-08-25","passed","2026-08-25","Login","tests\Login.spec.js","",""
"","2899","TC 1 - Valid Username and Valid Password","firefox","2026-08-24","passed","2026-08-24","","tests\Login.spec.js","",""
"","4614","End To End Execution TestCase","firefox","2026-08-24","passed","2026-08-24","","tests\EndToEndExecution.spec.js","",""
"","953","has title","webkit","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","1049","Login Test Case with valid user","chromium","2026-08-25","failed","2026-08-25","Smoke Suite","SmokeTest\SmokeTest.spec.js","",""
"","1819","TC 1 - Login and Add Product to Cart","webkit","2026-08-24","passed","2026-08-24","","tests\AddToCart.spec.js","",""
"","1856","has title","firefox","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","2245","TC 1 - Login and Logout","webkit","2026-08-24","passed","2026-08-24","","tests\Logout.spec.js","",""
"","1689","get started link","webkit","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","2831","SMOKE TEST - Login → Add to Cart → Checkout → Logout","chromium","2026-08-24","passed","2026-08-24","SauceDemo Smoke Test Suite","SmokeTest\SmokeTest.spec.js","",""
"","9887","Login Test Case with invalid user","chromium","2026-08-24","failed","2026-08-24","Login","tests\Login.spec.js","",""
"","2431","End To End Execution TestCase","webkit","2026-08-24","passed","2026-08-24","","tests\EndToEndExecution.spec.js","",""
"","3889","TC 1 - Login and Add Product to Cart","chromium","2026-08-24","passed","2026-08-24","","tests\AddToCart.spec.js","",""
"","4304","SMOKE TEST - Login → Add to Cart → Checkout → Logout","firefox","2026-08-24","passed","2026-08-24","SauceDemo Smoke Test Suite","SmokeTest\SmokeTest.spec.js","",""
"","5119","SMOKE TEST - Login → Add to Cart → Checkout → Logout","webkit","2026-08-24","passed","2026-08-24","SauceDemo Smoke Test Suite","SmokeTest\SmokeTest.spec.js","",""
"","4227","SMOKE TEST - Login → Add to Cart → Checkout → Logout","firefox","2026-08-24","passed","2026-08-24","","SmokeTest\SmokeTest.spec.js","",""
"","4028","TC 1 - Login and Checkout Product","chromium","2026-08-24","passed","2026-08-24","","tests\CheckOut.spec.js","",""
"","3842","TC 1 - Login and Add Product to Cart","firefox","2026-08-24","passed","2026-08-24","","tests\AddToCart.spec.js","",""
"","4045","TC 1 - Login and Logout","firefox","2026-08-24","passed","2026-08-24","","tests\Logout.spec.js","",""
"","3520","has title","chromium","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","5028","SMOKE TEST - Login → Add to Cart → Checkout → Logout","chromium","2026-08-24","passed","2026-08-24","","SmokeTest\SmokeTest.spec.js","",""
"","3093","get started link","firefox","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","4750","TC 1 - Login and Logout","chromium","2026-08-24","passed","2026-08-24","","tests\Logout.spec.js","",""
"","4411","End To End Execution TestCase","chromium","2026-08-24","passed","2026-08-24","","tests\EndToEndExecution.spec.js","",""
"","3933","get started link","chromium","2026-08-24","passed","2026-08-24","","tests\example.spec.js","",""
"","2248","TC 1 - Login and Checkout Product","webkit","2026-08-24","passed","2026-08-24","","tests\CheckOut.spec.js","",""
"","1388","TC 1 - Valid Username and Valid Password","webkit","2026-08-24","passed","2026-08-24","","tests\Login.spec.js","",""
"","1479","Login Test Case with valid user","chromium","2026-08-25","passed","2026-08-25","Login","tests\Login.spec.js","",""
"","3676","SMOKE TEST - Login → Add to Cart → Checkout → Logout","webkit","2026-08-24","passed","2026-08-24","","SmokeTest\SmokeTest.spec.js","",""
"","2250","Login Test Case with valid user","webkit","2026-08-25","passed","2026-08-25","Login","tests\Login.spec.js","",""
